symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,original_risk_percent,v12_quality_tier,pre_satellite_risk_percent,satellite_v12_tier
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-05-31 20:00:00+00:00,2019-06-06 00:00:00+00:00,0.15,0.25694619175622324,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-01 00:00:00+00:00,2019-06-04 16:00:00+00:00,0.15,-0.0,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-06-03 08:00:00+00:00,2019-06-04 16:00:00+00:00,0.15,-1.0,0.15,UNCHANGED,0.15,UNCHANGED
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-03 08:00:00+00:00,2019-06-03 20:00:00+00:00,0.05,-0.9999999999999943,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-04 00:00:00+00:00,2019-06-06 00:00:00+00:00,0.15,-0.999999999999984,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-06-17 20:00:00+00:00,2019-06-19 04:00:00+00:00,0.15,-0.0,0.15,UNCHANGED,0.15,UNCHANGED
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,-1,2019-06-18 00:00:00+00:00,2019-06-18 20:00:00+00:00,0.15,-0.0,0.15,UNCHANGED,0.15,UNCHANGED
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2019-06-19 08:00:00+00:00,2019-06-20 00:00:00+00:00,0.55,-0.9999999999999953,0.25,AUDUSD_08UTC_FULL,0.35,AUDUSD_08UTC_SATELLITE
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-20 04:00:00+00:00,2019-06-21 20:00:00+00:00,0.05,0.02928508418651179,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-20 20:00:00+00:00,2019-06-26 00:00:00+00:00,0.15,0.05598055507191054,0.25,USDJPY_00_16_20UTC_FULL,0.25,USDJPY_V12_OBSERVATION
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2019-06-21 08:00:00+00:00,2019-06-21 12:00:00+00:00,0.05,-0.9999999999999852,0.25,USDJPY_OTHER_HOUR_MICRO,0.05,USDJPY_V12_OBSERVATION
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2019-06-22 00:00:00+00:00,2019-06-25 20:00:00+00:00,0.55,0.0,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2019-06-24 04:00:00+00:00,2019-06-26 00:00:00+00:00,0.55,-1.0000000000000078,0.25,EURUSD_CORE_FULL,0.35,EURUSD_CORE_SATELLITE
