symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple,trade_id,risk_dollars,guard_reason,guard_multiplier,is_recovery_probe,equity_at_entry,open_risk_before_entry,open_risk_after_entry
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-11 04:00:00+00:00,2013-10-14 04:00:00+00:00,0.25,-1.000000000000008,78,13.224903105950808,strong_or_audusd_protected,1.0,False,5289.961242380324,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-14 08:00:00+00:00,2013-10-15 12:00:00+00:00,0.25,2.0,79,13.191840848185931,strong_or_audusd_protected,1.0,False,5276.736339274373,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-17 08:00:00+00:00,2013-10-17 16:00:00+00:00,0.25,2.0,80,13.257800052426862,strong_or_audusd_protected,1.0,False,5303.120020970745,0.0,0.25
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-10-18 12:00:00+00:00,2013-10-21 16:00:00+00:00,0.25,-1.0000000000000357,81,13.324089052688997,strong_or_audusd_protected,1.0,False,5329.6356210755985,0.0,0.25
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-10-21 08:00:00+00:00,2013-10-22 08:00:00+00:00,0.15,-1.0000000000000084,82,7.9944534316133975,strong_or_audusd_protected,1.0,False,5329.6356210755985,0.25,0.4
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-10-23 04:00:00+00:00,2013-10-23 12:00:00+00:00,0.15,-0.9999999999999826,83,7.962475617886943,strong_or_audusd_protected,1.0,False,5308.317078591295,0.0,0.15
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-10-23 08:00:00+00:00,2013-10-29 16:00:00+00:00,0.25,-1.0000000000000027,84,13.270792696478239,full_performance,1.0,False,5308.317078591295,0.15,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-24 04:00:00+00:00,2013-10-24 12:00:00+00:00,0.25,-1.0000000000000082,85,13.250886507433522,strong_or_audusd_protected,1.0,False,5300.354602973409,0.25,0.5
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-06 16:00:00+00:00,2013-11-07 16:00:00+00:00,0.15,-0.9999999999999788,86,7.9107493856542455,strong_or_audusd_protected,1.0,False,5273.832923769497,0.0,0.15
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-12 04:00:00+00:00,2013-11-18 12:00:00+00:00,0.15,0.5959183309146426,87,7.898883261575763,reduced_performance,0.6,False,5265.9221743838425,0.0,0.15
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2013-11-14 16:00:00+00:00,2013-11-21 08:00:00+00:00,0.5,0.0029608598028348465,88,26.32961087191921,strong_or_audusd_protected,1.0,False,5265.9221743838425,0.15,0.65
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-11-18 08:00:00+00:00,2013-11-19 16:00:00+00:00,0.15,-0.9999999999999832,89,7.898883261575763,strong_or_audusd_protected,1.0,False,5265.9221743838425,0.65,0.8
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-20 04:00:00+00:00,2013-11-20 20:00:00+00:00,0.25,-1.0000000000000107,90,13.156825951128985,strong_or_audusd_protected,1.0,False,5262.730380451594,0.5,0.75
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 08:00:00+00:00,2013-11-22 04:00:00+00:00,0.15,3.0,91,7.874477269180379,strong_or_audusd_protected,1.0,False,5249.65151278692,0.0,0.15
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-21 08:00:00+00:00,2013-11-26 20:00:00+00:00,0.15,1.1922307929903893,92,7.874477269180379,reduced_performance,0.6,False,5249.65151278692,0.15,0.3
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 12:00:00+00:00,2013-11-23 00:00:00+00:00,0.15,3.0,93,7.874477269180379,strong_or_audusd_protected,1.0,False,5249.65151278692,0.3,0.44999999999999996
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 16:00:00+00:00,2013-11-25 04:00:00+00:00,0.15,3.0,94,7.874477269180379,strong_or_audusd_protected,1.0,False,5249.65151278692,0.44999999999999996,0.6
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 20:00:00+00:00,2013-11-25 04:00:00+00:00,0.15,3.0,95,7.874477269180379,strong_or_audusd_protected,1.0,False,5249.65151278692,0.6,0.75
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-11-22 16:00:00+00:00,2013-11-25 20:00:00+00:00,0.15,-1.0000000000000224,96,7.909912416891691,strong_or_audusd_protected,1.0,False,5273.274944594461,0.6,0.75
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-23 00:00:00+00:00,2013-11-25 16:00:00+00:00,0.15,0.0,97,7.9453475646030025,strong_or_audusd_protected,1.0,False,5296.898376402002,0.6,0.75
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-11-27 12:00:00+00:00,2013-12-02 04:00:00+00:00,0.4,2.5,98,21.382494087516854,strong_or_audusd_protected,1.0,False,5345.623521879213,0.0,0.4
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-27 16:00:00+00:00,2013-11-29 12:00:00+00:00,0.25,0.0,99,13.36405880469803,full_performance,1.0,False,5345.623521879213,0.4,0.65
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-12-02 12:00:00+00:00,2013-12-03 12:00:00+00:00,0.25,0.0,100,13.497699392745012,full_performance,1.0,False,5399.079757098005,0.0,0.25
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-12-03 04:00:00+00:00,2013-12-03 16:00:00+00:00,0.25,-1.0000000000000009,101,13.497699392745012,strong_or_audusd_protected,1.0,False,5399.079757098005,0.25,0.5
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-12-03 12:00:00+00:00,2013-12-04 12:00:00+00:00,0.15,-1.000000000000022,102,8.098619635647006,strong_or_audusd_protected,1.0,False,5399.079757098005,0.25,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-12-04 04:00:00+00:00,2013-12-05 20:00:00+00:00,0.25,-0.0,103,13.46395514426315,strong_or_audusd_protected,1.0,False,5385.58205770526,0.15,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-12-06 08:00:00+00:00,2013-12-06 16:00:00+00:00,0.25,-1.0000000000000018,104,13.443708595174032,strong_or_audusd_protected,1.0,False,5377.483438069613,0.0,0.25
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-12-09 20:00:00+00:00,2013-12-10 16:00:00+00:00,0.15,-1.0000000000000018,105,8.046059594211659,strong_or_audusd_protected,1.0,False,5364.039729474439,0.0,0.15
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-12-10 04:00:00+00:00,2013-12-10 16:00:00+00:00,0.15,-0.9999999999999976,106,8.046059594211659,strong_or_audusd_protected,1.0,False,5364.039729474439,0.15,0.3
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-12-10 08:00:00+00:00,2013-12-10 12:00:00+00:00,0.15,-1.0000000000000162,107,8.046059594211659,strong_or_audusd_protected,1.0,False,5364.039729474439,0.3,0.44999999999999996
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2013-12-24 08:00:00+00:00,2013-12-30 04:00:00+00:00,0.25,2.0,108,13.34975387672951,strong_or_audusd_protected,1.0,False,5339.901550691804,0.0,0.25
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-12-26 12:00:00+00:00,2013-12-27 16:00:00+00:00,0.15,3.0,109,8.009852326037706,strong_or_audusd_protected,1.0,False,5339.901550691804,0.25,0.4
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-12-30 20:00:00+00:00,2014-01-02 16:00:00+00:00,0.15,0.24275346673479262,110,8.085945923135064,strong_or_audusd_protected,1.0,False,5390.630615423376,0.0,0.15
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2014-01-10 16:00:00+00:00,2014-01-13 12:00:00+00:00,0.4,-1.000000000000011,111,21.570374027312187,strong_or_audusd_protected,1.0,False,5392.593506828047,0.0,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2014-01-23 04:00:00+00:00,2014-01-24 08:00:00+00:00,0.25,2.0,112,13.427557832001837,strong_or_audusd_protected,1.0,False,5371.023132800735,0.0,0.25
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2014-01-23 16:00:00+00:00,2014-01-24 16:00:00+00:00,0.15,0.0,113,8.056534699201102,strong_or_audusd_protected,1.0,False,5371.023132800735,0.25,0.4
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2014-01-28 16:00:00+00:00,2014-01-29 16:00:00+00:00,0.4,-1.000000000000014,114,21.591512993858956,strong_or_audusd_protected,1.0,False,5397.878248464738,0.0,0.4
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,-1,2014-02-03 04:00:00+00:00,2014-02-03 12:00:00+00:00,0.25,-1.0000000000000115,115,13.440716838677197,strong_or_audusd_protected,1.0,False,5376.286735470879,0.0,0.25
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2014-02-12 16:00:00+00:00,2014-02-14 20:00:00+00:00,0.2,3.0,116,10.725692037264405,strong_or_audusd_protected,1.0,False,5362.846018632202,0.0,0.2
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2014-02-12 20:00:00+00:00,2014-02-14 08:00:00+00:00,0.15,-0.9999999999999882,117,8.044269027948301,strong_or_audusd_protected,1.0,False,5362.846018632202,0.2,0.35
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2014-02-13 00:00:00+00:00,2014-02-13 08:00:00+00:00,0.15,-1.0000000000000144,118,8.044269027948301,strong_or_audusd_protected,1.0,False,5362.846018632202,0.35,0.5
GBPUSD,GBPUSD_V10_PRECISION,SECONDARY_12UTC_BREAKOUT,1,2014-02-13 12:00:00+00:00,2014-02-17 04:00:00+00:00,0.4,3.0,119,21.41920699841701,strong_or_audusd_protected,1.0,False,5354.801749604253,0.35,0.75
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2014-02-13 20:00:00+00:00,2014-02-17 12:00:00+00:00,0.15,1.4272339443991369,120,8.032202624406379,strong_or_audusd_protected,1.0,False,5354.801749604253,0.75,0.9
