symbol,engine,setup,side,entry_time,exit_time,risk_percent,r_multiple
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2013-09-13 16:00:00+00:00,2013-09-19 00:00:00+00:00,0.5,3.0
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-16 04:00:00+00:00,2013-09-19 00:00:00+00:00,0.25,3.0
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-09-18 20:00:00+00:00,2013-09-19 00:00:00+00:00,0.15,4.0
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 00:00:00+00:00,2013-09-20 16:00:00+00:00,0.25,0.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 08:00:00+00:00,2013-09-23 12:00:00+00:00,0.15,0.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 12:00:00+00:00,2013-09-21 00:00:00+00:00,0.15,0.0
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-09-19 16:00:00+00:00,2013-09-20 00:00:00+00:00,0.15,-1.0000000000000075
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-09-23 04:00:00+00:00,2013-09-24 12:00:00+00:00,0.25,-1.0000000000000058
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-09-23 08:00:00+00:00,2013-09-24 12:00:00+00:00,0.25,-0.9999999999999966
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-10-02 12:00:00+00:00,2013-10-03 20:00:00+00:00,0.15,-0.9999999999999876
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-10-02 16:00:00+00:00,2013-10-04 16:00:00+00:00,0.25,0.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-03 04:00:00+00:00,2013-10-07 12:00:00+00:00,0.25,0.004524303801787487
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-04 04:00:00+00:00,2013-10-08 20:00:00+00:00,0.25,0.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-10-08 00:00:00+00:00,2013-10-08 12:00:00+00:00,0.25,-1.0000000000000133
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-08 08:00:00+00:00,2013-10-08 20:00:00+00:00,0.25,0.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-09 08:00:00+00:00,2013-10-10 08:00:00+00:00,0.25,0.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-11 04:00:00+00:00,2013-10-14 04:00:00+00:00,0.25,-1.000000000000008
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-14 08:00:00+00:00,2013-10-15 12:00:00+00:00,0.25,2.0
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-17 08:00:00+00:00,2013-10-17 16:00:00+00:00,0.25,2.0
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-10-18 12:00:00+00:00,2013-10-21 16:00:00+00:00,0.25,-1.0000000000000357
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-10-21 08:00:00+00:00,2013-10-22 08:00:00+00:00,0.15,-1.0000000000000084
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-10-23 04:00:00+00:00,2013-10-23 12:00:00+00:00,0.15,-0.9999999999999826
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-10-23 08:00:00+00:00,2013-10-29 16:00:00+00:00,0.25,-1.0000000000000027
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-24 04:00:00+00:00,2013-10-24 12:00:00+00:00,0.25,-1.0000000000000082
AUDUSD,AUDUSD_TREND_PULLBACK,D1_H4_EMA_PULLBACK_04_08UTC,1,2013-10-24 08:00:00+00:00,2013-10-24 12:00:00+00:00,0.25,-0.9999999999999901
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,-1,2013-10-25 08:00:00+00:00,2013-10-28 04:00:00+00:00,0.25,-0.9999999999999972
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-06 16:00:00+00:00,2013-11-07 16:00:00+00:00,0.15,-0.9999999999999788
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-12 04:00:00+00:00,2013-11-18 12:00:00+00:00,0.25,0.5959183309146426
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-12 08:00:00+00:00,2013-11-13 20:00:00+00:00,0.25,-1.000000000000005
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-12 12:00:00+00:00,2013-11-13 16:00:00+00:00,0.25,-0.9999999999999928
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-14 12:00:00+00:00,2013-11-19 04:00:00+00:00,0.25,-1.0000000000000004
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2013-11-14 16:00:00+00:00,2013-11-21 08:00:00+00:00,0.5,0.0029608598028348465
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-15 04:00:00+00:00,2013-11-18 12:00:00+00:00,0.25,-1.0000000000000049
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-15 12:00:00+00:00,2013-11-18 12:00:00+00:00,0.25,-1.0000000000000067
GBPUSD,GBPUSD_V10_PRECISION,GBPUSD_SWING_V5_PULLBACK_ADDON,1,2013-11-15 16:00:00+00:00,2013-11-19 16:00:00+00:00,0.4,-1.0000000000000184
GBPUSD,GBPUSD_V10_PRECISION,PRIMARY_16UTC_BREAKOUT,1,2013-11-15 16:00:00+00:00,2013-11-25 20:00:00+00:00,0.5,0.3337935670685138
GBPUSD,GBPUSD_SWING_RETEST,H4_BREAKOUT_RETEST,1,2013-11-18 08:00:00+00:00,2013-11-19 16:00:00+00:00,0.15,-0.9999999999999832
EURUSD,EURUSD_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-20 04:00:00+00:00,2013-11-20 20:00:00+00:00,0.25,-1.0000000000000107
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 08:00:00+00:00,2013-11-22 04:00:00+00:00,0.15,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-21 08:00:00+00:00,2013-11-26 20:00:00+00:00,0.25,1.1922307929903893
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 12:00:00+00:00,2013-11-23 00:00:00+00:00,0.15,3.0
USDJPY,USDJPY_SAFE_HAVEN_BREAKOUT,D1_H4_40BAR_BREAKOUT,1,2013-11-21 12:00:00+00:00,2013-11-26 20:00:00+00:00,0.25,0.7939930600379237
GBPJPY,GBPJPY_SWING_CORE,H4_DONCHIAN_BREAKOUT,1,2013-11-21 16:00:00+00:00,2013-11-25 04:00:00+00:00,0.15,3.0
