time,event,equity,balance,peak,drawdown_percent,open_risk_percent,trade_id,engine_group,engine,symbol,risk_percent,admission_reason,pnl
2016-01-19T16:00:00+00:00,ENTRY,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.5,332.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.5,v12_master_admitted,
2016-01-20T00:00:00+00:00,ENTRY,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.65,333.0,V12,GBPUSD_SWING_RETEST,GBPUSD,0.15,v12_master_admitted,
2016-01-20T04:00:00+00:00,ENTRY,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.9,334.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2016-01-20T04:00:00+00:00,ENTRY,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,1.05,335.0,V12,GBPJPY_SWING_CORE,GBPJPY,0.15,v12_master_admitted,
2016-01-20T20:00:00+00:00,EXIT,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.55,332.0,V12,GBPUSD_V10_PRECISION,GBPUSD,,,-0.0
2016-01-21T00:00:00+00:00,EXIT,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.3,334.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,-0.0
2016-01-21T00:00:00+00:00,EXIT,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.15,335.0,V12,GBPJPY_SWING_CORE,GBPJPY,,,-0.0
2016-01-21T08:00:00+00:00,ENTRY,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.4,336.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,0.25,v12_master_admitted,
2016-01-21T16:00:00+00:00,ENTRY,5782.2270167567485,5782.2270167567485,5885.002902154629,1.746403308658553,0.9,337.0,V12,GBPUSD_V10_PRECISION,GBPUSD,0.5,v12_master_admitted,
2016-01-21T20:00:00+00:00,EXIT,5767.771449214857,5767.771449214857,5885.002902154629,1.9920373003868996,0.65,336.0,V12,AUDUSD_TREND_PULLBACK,AUDUSD,,,-14.455567541891869
