trade_id,engine_group,engine,symbol,setup,side,entry_time,exit_time,risk_percent,risk_dollars,r_multiple,pre_equity,pre_drawdown_percent,pre_open_risk_total,pre_ict_open_risk,admission_reason,pnl,equity_before_exit,equity_after_exit,drawdown_after_exit
2285,ICT,ICT_V14_3_UNDER10,GBPUSD,sweep_reclaim_30,1,2024-02-01 15:10:00+00:00,2024-02-01 15:54:00+00:00,0.45,67.32990384627963,-0.6150174907758985,14962.200854728808,1.2906598369207518,0.45,0.45,ict_active,-41.409068517721416,14894.870950882529,14853.461882364807,2.0080377358191943
2286,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-01 17:41:00+00:00,2024-02-01 18:05:00+00:00,0.45,66.84057847064163,-1.0,14853.461882364807,2.0080377358191943,0.0,0.0,ict_active,-66.84057847064163,14853.461882364807,14786.621303894166,2.449001566008004
2288,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-02 09:22:00+00:00,2024-02-02 09:46:00+00:00,0.45,66.53979586752375,-1.0,14786.621303894166,2.449001566008004,0.45,0.45,ict_active,-66.53979586752375,14786.621303894166,14720.081508026642,2.887981058960969
2287,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-02 09:03:00+00:00,2024-02-02 09:47:00+00:00,0.45,66.53979586752375,1.25,14786.621303894166,2.449001566008004,0.0,0.0,ict_active,83.17474483440469,14720.081508026642,14803.256252861047,2.3392566927697627
2289,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-02 15:03:00+00:00,2024-02-02 15:27:00+00:00,0.45,66.61465313787471,1.2,14803.256252861047,2.3392566927697627,0.0,0.0,ict_active,79.93758376544965,14803.256252861047,14883.193836626497,1.8118886789107187
2291,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-02 16:03:00+00:00,2024-02-02 16:27:00+00:00,0.45,66.97437226481924,7.940870183631432e-14,14883.193836626497,1.8118886789107187,0.45,0.45,ict_active,5.318347957851351e-12,14883.193836626497,14883.193836626502,1.8118886789106825
2290,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-02 16:03:00+00:00,2024-02-02 16:47:00+00:00,0.45,66.97437226481924,-1.0,14883.193836626497,1.8118886789107187,0.0,0.0,ict_active,-66.97437226481924,14883.193836626502,14816.219464361682,2.2537351798555894
2292,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,-1,2024-02-05 08:34:00+00:00,2024-02-05 09:18:00+00:00,0.45,66.67298758962757,0.4800000000002911,14816.219464361682,2.2537351798555894,0.0,0.0,ict_active,32.00303404304064,14816.219464361682,14848.222498404723,2.0426032478439513
2293,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-05 09:02:00+00:00,2024-02-05 09:26:00+00:00,0.45,66.67298758962757,1.2,14816.219464361682,2.2537351798555894,0.45,0.45,ict_active,80.00758510755308,14848.222498404723,14928.230083512275,1.514773417815175
2294,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-05 10:07:00+00:00,2024-02-05 10:31:00+00:00,0.45,67.17703537580523,1.2,14928.230083512275,1.514773417815175,0.0,0.0,ict_active,80.61244245096627,14928.230083512275,15008.842525963242,0.9829531942713713
2295,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-05 11:54:00+00:00,2024-02-05 12:18:00+00:00,0.45,67.53979136683459,-1.0,15008.842525963242,0.9829531942713713,0.0,0.0,ict_active,-67.53979136683459,15008.842525963242,14941.302734596407,1.4285299048971518
2296,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,1,2024-02-05 14:45:00+00:00,2024-02-05 15:09:00+00:00,0.45,67.23586230568384,-1.0,14941.302734596407,1.4285299048971518,0.0,0.0,ict_active,-67.23586230568384,14941.302734596407,14874.066872290723,1.8721015203251181
2297,ICT,ICT_V14_3_UNDER10,GBPUSD,sweep_reclaim_30,-1,2024-02-05 17:32:00+00:00,2024-02-05 18:16:00+00:00,0.45,66.93330092530826,1.25,14874.066872290723,1.8721015203251181,0.0,0.0,ict_active,83.66662615663532,14874.066872290723,14957.733498447358,1.3201320913769476
2298,ICT,ICT_V14_3_UNDER10,GBPUSD,sweep_reclaim_30,1,2024-02-07 08:30:00+00:00,2024-02-07 09:14:00+00:00,0.45,67.30980074301311,1.25,14957.733498447358,1.3201320913769476,0.0,0.0,ict_active,84.13725092876639,14957.733498447358,15041.870749376125,0.7650578343909412
2299,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_15_fade,-1,2024-02-07 11:58:00+00:00,2024-02-07 12:22:00+00:00,0.45,67.68841837219256,-0.3599999999989813,15041.870749376125,0.7650578343909412,0.0,0.0,ict_active,-24.36783061392037,15041.870749376125,15017.502918762204,0.9258184406987764
2300,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-07 14:08:00+00:00,2024-02-07 14:52:00+00:00,0.45,67.57876313442992,1.25,15017.502918762204,0.9258184406987764,0.0,0.0,ict_active,84.4734539180374,15017.502918762204,15101.976372680241,0.36852616942770844
2301,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,-1,2024-02-07 15:05:00+00:00,2024-02-07 15:29:00+00:00,0.45,67.95889367706108,-0.8800000000001456,15101.976372680241,0.36852616942770844,0.0,0.0,ict_active,-59.803826435823645,15101.976372680241,15042.172546244417,0.7630668057968409
2302,ICT,ICT_V14_3_UNDER10,GBPJPY,sweep_reclaim_15,1,2024-02-07 15:16:00+00:00,2024-02-07 16:00:00+00:00,0.45,67.95889367706108,-1.0,15101.976372680241,0.36852616942770844,0.45,0.45,ict_active,-67.95889367706108,15042.172546244417,14974.213652567356,1.211408438034419
2303,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_30_fade,-1,2024-02-07 17:26:00+00:00,2024-02-07 17:50:00+00:00,0.45,67.3839614365531,1.4551554405883849e-13,14974.213652567356,1.211408438034419,0.0,0.0,ict_active,9.805413809279815e-12,14974.213652567356,14974.213652567365,1.2114084380343588
2304,ICT,ICT_V14_3_UNDER10,GBPUSD,breakout_60_fade,1,2024-02-08 08:16:00+00:00,2024-02-08 08:40:00+00:00,0.45,67.38396143655315,1.2,14974.213652567365,1.2114084380343588,0.0,0.0,ict_active,80.86075372386378,14974.213652567365,15055.074406291229,0.6779500435997428
