engine,trade_id,symbol,side,entry_time,entry_price,exit_time,exit_price,stop_loss,take_profit,setup,risk_percent,position_size,risk_dollars,r_multiple,pnl,equity_before,equity_after,peak_before,peak_after,drawdown_before,drawdown_after,guard_reason,guard_multiplier,is_recovery_probe,exit_reason,engine_group
USDJPY_SAFE_HAVEN_BREAKOUT,222,USDJPY,BUY,2014-12-03 04:00:00+00:00,,2014-12-04 20:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.336414080001656,0.0395219350585041,0.5666028262416496,5705.89280384066,5706.4594066669015,5793.059687793974,5793.059687793974,1.504677815368887,1.4948970974619906,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_CORE,223,EURUSD,SELL,2014-12-03 12:00:00+00:00,,2014-12-04 16:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.25,,14.336414080001656,-1.000000000000006,-14.336414080001742,5734.565632000663,5720.2292179206615,5793.059687793974,5793.059687793974,1.0097264476069336,1.2572021314879105,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,224,GBPJPY,BUY,2014-12-03 16:00:00+00:00,,2014-12-05 16:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,8.601848448000995,3.0,25.805545344002983,5732.264952010904,5758.070497354907,5793.059687793974,5793.059687793974,1.0494408664762234,0.603984635490456,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_CORE,225,EURUSD,SELL,2014-12-03 20:00:00+00:00,,2014-12-04 16:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.25,,14.336414080001656,-0.999999999999982,-14.3364140800014,5720.2292179206615,5705.89280384066,5793.059687793974,5793.059687793974,1.2572021314879105,1.504677815368887,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPJPY_SWING_CORE,226,GBPJPY,BUY,2014-12-05 12:00:00+00:00,,2014-12-08 12:00:00+00:00,,,,H4_DONCHIAN_BREAKOUT,0.15,,8.559689110000352,0.0,0.0,5800.868942904909,5800.868942904909,5800.868942904909,5800.868942904909,0.0,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,227,USDJPY,BUY,2014-12-05 12:00:00+00:00,,2014-12-08 04:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.266148516667254,3.0,42.79844555000176,5758.070497354907,5800.868942904909,5793.059687793974,5800.868942904909,0.603984635490456,0.0,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
USDJPY_SAFE_HAVEN_BREAKOUT,228,USDJPY,BUY,2014-12-22 12:00:00+00:00,,2014-12-30 12:00:00+00:00,,,,D1_H4_40BAR_BREAKOUT,0.25,,14.502172357262271,0.3178470952094007,4.60947335798188,5795.068073962005,5799.677547319987,5800.868942904909,5800.868942904909,0.0999999999999902,0.0205382261976363,full_performance,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
EURUSD_SWING_RETEST,229,EURUSD,SELL,2014-12-24 04:00:00+00:00,,2014-12-24 10:00:00+00:00,,,,H1_BREAKOUT_RETEST,0.1,,5.800868942904909,-0.9999999999999662,-5.800868942904714,5800.868942904909,5795.068073962005,5800.868942904909,5800.868942904909,0.0,0.0999999999999902,warmup,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_SWING_RETEST,230,GBPUSD,SELL,2014-12-24 16:00:00+00:00,,2014-12-31 16:00:00+00:00,,,,H4_BREAKOUT_RETEST,0.15,,8.692602110943007,-1.0000000000000069,-8.692602110943065,5799.677547319987,5790.984945209044,5800.868942904909,5800.868942904909,0.0205382261976363,0.1703882261976357,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
GBPUSD_V10_PRECISION,231,GBPUSD,SELL,2015-01-02 12:00:00+00:00,,2015-01-02 20:00:00+00:00,,,,GBPUSD_SWING_V5_PULLBACK_ADDON,0.4,,23.163939780836177,2.5,57.90984945209044,5790.984945209044,5848.894794661134,5800.868942904909,5848.894794661134,0.1703882261976357,0.0,strong_or_audusd_protected,1.0,False,SIMULATED_R_MULTIPLE_CLOSE,V12
